system:index,PfafIDDomWN_yearY2014M12,countDomWN_yearY2014M12,meanDomWN_yearY2014M12,.geo
0,111011,2536,0.004577224476293844,
1,111012,3921,5.329246558461499E-5,
2,111013,1194,1.5564005345397182E-4,
3,111014,5605,3.075996368726253E-5,
4,111015,21769,2.1418946786487322E-4,
5,111016,2382,2.9216299620265165E-6,
6,111017,11168,5.115466293264372E-5,
7,111018,2509,2.7005112195658146E-6,
8,111019,8353,2.027523489488225E-5,
9,111020,14779,9.320731124697855E-6,
10,111030,6961,9.351223684554824E-5,
11,111041,17205,3.7415092451734345E-5,
12,111042,6643,4.072014484636805E-5,
13,111043,349,5.1206425409532935E-5,
14,111044,6597,5.1627823063459414E-5,
15,111045,7591,3.913455042275313E-5,
16,111046,4623,1.2560688397043394E-5,
17,111047,903,5.0566133881630835E-5,
18,111048,4457,5.0554145915656495E-5,
19,111049,4490,3.7324640023269236E-5,
20,111050,20250,5.410877198162189E-5,
21,111060,5660,2.8200529380828537E-4,
22,111070,13788,0.0014033220406997476,
23,111081,5223,8.854501430872878E-4,
24,111082,18754,2.2373164471368927E-4,
25,111083,6133,1.860050296715464E-4,
26,111084,15194,2.5448141773253826E-4,
27,111085,10124,5.928900856163568E-5,
28,111086,2528,2.148597187158294E-5,
29,111087,13852,6.167699637875946E-5,
30,111088,3118,1.5916278179706366E-4,
31,111089,2844,1.9251418194239417E-4,
32,111090,510,9.59625906327722E-5,
33,111091,212,0.0010611803745600185,
34,111092,2946,0.0014566341111299805,
35,111093,19956,3.8871299829531153E-4,
36,111094,2485,9.364940068987745E-5,
37,111095,1794,5.9072975940151115E-5,
38,111096,2707,2.348696337121024E-4,
39,111097,2700,2.204366111817476E-4,
40,111098,3449,4.661961299041874E-4,
41,111099,5594,7.450045159753075E-5,
42,112011,3093,1.33505471890513E-5,
43,112012,21200,1.2813082735433656E-5,
44,112013,15552,1.4354536528207455E-5,
45,112014,34480,2.085631246444855E-5,
46,112015,4666,1.035866247794767E-5,
47,112016,11966,6.0510104488626154E-5,
48,112017,13480,3.833475137746797E-5,
49,112018,14831,6.477531694597992E-5,
50,112019,46077,8.782314619330383E-5,
51,112020,1906,3.876663144391503E-5,
52,112030,2337,7.1707793738361635E-6,
53,112041,4145,3.082156130006248E-5,
54,112042,9610,1.9141782789966536E-5,
55,112043,1103,1.984042977290859E-5,
56,112044,5576,1.8082140956299056E-5,
57,112045,2564,2.130782020563767E-5,
58,112046,18320,4.359343860777376E-5,
59,112047,22718,4.337235142442304E-5,
60,112048,6256,7.42008046530688E-5,
61,112049,17069,1.2596733522521163E-4,
62,112050,8062,2.204782665215281E-5,
63,112060,9065,2.4757478241624576E-5,
64,112070,2276,4.8454568458962635E-5,
65,112111,39164,1.0878892329975325E-4,
66,112112,4819,3.573860768377277E-5,
67,112113,7180,2.091337967075193E-5,
68,112114,4624,3.4140525109586376E-5,
69,112115,1326,2.5402562799448245E-5,
70,112116,4584,5.240761390377994E-5,
71,112117,2017,1.9112196404801805E-5,
72,112118,4443,2.1174948787557117E-4,
73,112119,6741,3.6365511340683786E-5,
74,112120,6306,5.430818568779156E-6,
75,112130,3588,4.347181276721375E-6,
76,112140,5675,1.0043257498760489E-5,
77,112150,567,3.487865069517569E-6,
78,112160,4941,9.160389520991422E-6,
79,112170,17030,6.996237216753635E-6,
80,112180,5677,7.852538601204837E-6,
81,112190,13172,8.333071020647726E-6,
82,112200,33905,1.063470758721634E-5,
83,112300,8315,1.46355113178451E-5,
84,112400,30830,1.742387543686582E-5,
85,112500,806,1.595655923080833E-5,
86,112600,7692,1.4089739040313146E-5,
87,112700,9177,1.2731253559759192E-5,
88,112801,6769,8.608870263760742E-6,
89,112802,7135,5.265682436098557E-6,
90,112803,17267,3.314196824980382E-6,
91,112804,9185,1.7704879130671305E-5,
92,112805,5556,8.361151715275065E-6,
93,112806,6540,1.6319790105281864E-5,
94,112807,9643,8.358267396327054E-6,
95,112808,3496,1.632559296145388E-5,
96,112809,10746,4.63416447104299E-5,
97,112901,27,1.2124533237674347E-5,
98,112902,3218,9.803221772484604E-6,
99,112903,1169,8.931253935506355E-6,
100,112904,2951,1.2405035995150712E-5,
101,112905,37,1.737200993140439E-5,
102,112906,2413,1.577768108727409E-5,
103,112907,779,1.7560744938383868E-5,
104,112908,5204,1.3347557423810663E-5,
105,112909,20422,1.0250794988235176E-4,
106,113000,4675,0.0,
107,114001,54761,7.077104764407571E-5,
108,114002,2390,1.62988646456361E-5,
109,114100,1656,6.0387602484648105E-5,
110,114210,16802,1.1085826694864479E-5,
111,114221,2409,8.6116571161302E-6,
112,114222,5839,9.913555014923385E-6,
113,114223,174,1.0856698499926952E-5,
114,114224,77580,1.213178001669088E-4,
115,114225,2250,8.513891982986725E-6,
116,114226,17050,8.99579070521392E-5,
117,114227,24212,1.1900455246771944E-4,
118,114228,5771,1.0729113049709009E-4,
119,114229,9213,1.067252013460761E-4,
120,114230,2510,6.1058982641313374E-6,
121,114240,9987,8.82179369293881E-5,
122,114250,4469,1.446424588521037E-4,
123,114260,6798,1.6987445615677073E-4,
124,114270,14977,1.6843548205657186E-4,
125,114281,1050,4.712373965933273E-5,
